Region,English
1,0.15754283326368576
2,0.133982143369793
3,0.10656716417910447
4,0.09998986931415257
5,0.10634951838018479
6,0.17737394420271307
7,0.25009473285335354
8,0.10714285714285714
9,0.09489250992742708
10,0.18845477896444504
11,0.17462932454695224
12,0.24361493123772102
13,0.18104960918806828
14,0.20351966873706004
15,0.14321192052980133
16,0.34111943587483473
17,0.1825867815624746
18,0.179221096325235
19,0.11059627800987466
21,0.186825839292207
22,0.16881572930955646
23,0.15088645794039984
24,0.10888400362084573
25,0.1185668923371877
26,0.13049482163406215
27,0.12865711837434202
28,0.0936476957945102
29,0.09666149068322981
30,0.12055335968379446
31,0.06984445559458104
32,0.06881720430107527
33,0.07474470093538145
34,0.040377789046653144
35,0.07500936056912261
36,0.09148665819567979
37,0.03698470234072618
38,0.11496273968014736
39,0.052961454089627075
40,0.10940013789933349
41,0.14456778253649158
43,0.10378317334839074
44,0.22324881822088527
45,0.09794507393892836
46,0.08466615892358467
47,0.07107746755800236
48,0.22019259835039082
49,0.09010781459038325
50,0.08899373627267551
51,0.06812447434819176
52,0.13611993645750595
53,0.07398496240601504
54,0.1482131314064087
55,0.17679558011049723
56,0.13662849105887082
57,0.08934854462096173
58,0.201980198019802
59,0.07580543272267846
60,0.0995279307631786
61,0.0490964511212715
62,0.18558444303529908
63,0.0719585849870578
64,0.07866419294990723
